date,error_elo,error_adj,added_players,new_pid_percentage,matches_count,p_repeat_time,p_walk_length,rw_time_cost,emb_time_cost,nv,ne,period,window_size
3.0,0.37969676994067236,0.3790375741595254,303.0,0.46189024390243905,996.0,16.0,100.0,0.372,4.653,353.0,6476.0,1.0,5.0
4.0,0.38492328218812544,0.38725817211474317,615.0,0.8060288335517694,123.0,16.0,100.0,0.087,1.847,148.0,1150.0,1.0,5.0
5.0,0.38998211091234347,0.3852116875372689,233.0,0.2991014120667522,1517.0,16.0,100.0,0.64,9.651,546.0,11137.0,1.0,5.0
6.0,0.3878116343490305,0.38850415512465375,168.0,0.18400876232201532,2998.0,16.0,100.0,2.93,13.239,745.0,17751.0,1.0,5.0
7.0,0.38965904833270887,0.39040839265642563,258.0,0.30246189917936694,1677.0,16.0,100.0,0.82,10.521,595.0,12256.0,1.0,5.0
8.0,0.37706953642384106,0.37789735099337746,291.0,0.34933973589435774,1444.0,16.0,100.0,1.426,9.56,542.0,12790.0,1.0,5.0
9.0,0.35330188679245284,0.35754716981132073,234.0,0.26590909090909093,2669.0,16.0,100.0,1.197,10.98,646.0,17422.0,1.0,5.0
10.0,0.35304198800342756,0.3496143958868895,86.0,0.10955414012738854,2416.0,16.0,100.0,2.718,12.16,699.0,18690.0,1.0,5.0
11.0,0.3858093126385809,0.3843311160384331,246.0,0.3,2120.0,16.0,100.0,1.921,9.702,574.0,14220.0,1.0,5.0
12.0,0.39303079416531606,0.3987034035656402,264.0,0.3626373626373626,1167.0,16.0,100.0,0.567,7.821,464.0,10491.0,1.0,5.0
